Name|Cluster|Dist|f_Dist|r_Dist|log(Age)|Vmag|(B-V)0|log(Lx)|log(Lx/Lb)|_RA|_DE
[RSP95]66              |IC2602      | 161.0| |a,b    | 7.57|11.07| 0.64|22.72|-3.76|161.02837|-63.99308
[RSP95]92              |IC2602      | 161.0| |a,b    | 7.57|10.26| 0.63|23.03|-3.72|162.07658|-64.16478
[RSP95]58              |IC2602      | 161.0| |a,b    | 7.57|10.57| 0.61|23.41|-3.22|160.67300|-64.35122
[RSP95]72              |IC2602      | 161.0| |a,b    | 7.57|10.89| 0.60|23.51|-3.01|161.24835|-65.03864
[RSP95]83              |IC2602      | 161.0| |a,b    | 7.57|10.70| 0.58|23.04|-3.55|161.56187|-64.04945
[RSP95]85              |IC2602      | 161.0| |a,b    | 7.57| 9.87| 0.52|22.08|-4.74|161.61995|-64.13267
[RSP95]21              |IC2602      | 161.0| |a,b    | 7.57| 9.50| 0.51|23.20|-3.83|158.72043|-64.89951
[RSP95]41              |IC2602      | 161.0| |a,b    | 7.57| 8.86| 0.47|23.18|-4.13|159.87792|-65.08333
[RSP95]79              |IC2602      | 161.0| |a,b    | 7.57| 9.08| 0.44|22.83|-4.38|161.36745|-64.22918
Cl* NGC1039 JP425      |NGC1039     | 491.0| |a,b    | 8.28|15.02| 1.01|22.87|-3.26|040.63437|+42.81853
Cl* NGC1039 JP158      |NGC1039     | 491.0| |a,b    | 8.28|14.59| 0.77|22.94|-3.27|040.39686|+42.68398
Cl* NGC1039 JP320      |NGC1039     | 491.0| |a,b    | 8.28|13.48| 0.73|22.58|-4.06|040.53896|+42.70178
Cl* NGC1039 JP319      |NGC1039     | 491.0| |a,b    | 8.28|13.11| 0.72|22.90|-3.89|040.53904|+42.82878
Cl* NGC1039 JP317      |NGC1039     | 491.0| |a,b    | 8.28|13.42| 0.67|22.50|-4.15|040.53617|+42.69661
Cl* NGC1039 JP362      |NGC1039     | 491.0| |a,b    | 8.28|12.49| 0.54|23.09|-3.91|040.57875|+42.78044
Cl* NGC1039 JP270      |NGC1039     | 491.0| |a,b    | 8.28|12.60| 0.53|22.82|-4.13|040.49100|+42.81367
Cl* NGC1039 JP146      |NGC1039     | 491.0| |a,b    | 8.28|12.32| 0.49|22.75|-4.31|040.38646|+42.61189
Cl* NGC1039 JP257      |NGC1039     | 491.0| |a,b    | 8.28|12.34| 0.39|23.16|-3.88|040.47767|+42.79586
Cl* NGC2516 JTH 10702  |NGC2516     | 361.0| |a,b    | 8.06|16.27| 1.41|22.18|-3.52|119.81596|-60.79294
Cl* NGC2516 JTH 10010  |NGC2516     | 361.0| |a,b    | 8.06|17.18| 1.41|22.14|-3.19|119.73494|-60.78968
Cl* NGC2516 JTH 9185   |NGC2516     | 361.0| |a,b    | 8.06|18.33| 1.40|22.31|-2.55|119.65258|-60.80175
Cl* NGC2516 JTH 7358   |NGC2516     | 361.0| |a,b    | 8.06|17.80| 1.39|22.33|-2.73|119.45542|-60.84736
Cl* NGC2516 JTH 8556   |NGC2516     | 361.0| |a,b    | 8.06|18.94| 1.38|21.94|-2.66|119.58671|-60.77164
Cl* NGC2516 JTH 9015   |NGC2516     | 361.0| |a,b    | 8.06|16.76| 1.37|21.87|-3.59|119.63579|-60.99608
Cl* NGC2516 JTH 9283   |NGC2516     | 361.0| |a,b    | 8.06|16.89| 1.36|21.87|-3.52|119.66242|-60.80647
Cl* NGC2516 JTH 8893   |NGC2516     | 361.0| |a,b    | 8.06|16.18| 1.35|22.71|-2.96|119.62421|-60.81681
Cl* NGC2516 JTH 7782   |NGC2516     | 361.0| |a,b    | 8.06|15.76| 1.33|22.77|-3.05|119.50146|-60.87006
Cl* NGC2516 JTH 7276   |NGC2516     | 361.0| |a,b    | 8.06|16.42| 1.32|22.08|-3.47|119.44617|-60.86081
Cl* NGC2516 JTH 8047   |NGC2516     | 361.0| |a,b    | 8.06|16.12| 1.27|22.01|-3.61|119.53104|-60.74261
Cl* NGC2516 JTH 7001   |NGC2516     | 361.0| |a,b    | 8.06|15.71| 1.25|22.45|-3.32|119.41600|-60.77761
Cl* NGC2516 JTH 5024   |NGC2516     | 361.0| |a,b    | 8.06|16.32| 1.25|22.62|-2.90|119.19621|-60.72292
Cl* NGC2516 JTH 6492   |NGC2516     | 361.0| |a,b    | 8.06|15.94| 1.20|22.36|-3.29|119.35875|-60.76114
Cl* NGC2516 JTH 7690   |NGC2516     | 361.0| |a,b    | 8.06|15.15| 1.19|22.15|-3.81|119.49187|-60.76239
Cl* NGC2516 JTH 5061   |NGC2516     | 361.0| |a,b    | 8.06|15.41| 1.18|22.90|-2.95|119.20071|-60.77531
Cl* NGC2516 JTH 8776   |NGC2516     | 361.0| |a,b    | 8.06|15.78| 1.18|21.92|-3.78|119.61187|-60.75283
Cl* NGC2516 JTH 8126   |NGC2516     | 361.0| |a,b    | 8.06|15.64| 1.15|22.06|-3.68|119.53950|-60.99478
Cl* NGC2516 JTH 7937   |NGC2516     | 361.0| |a,b    | 8.06|15.36| 1.09|21.94|-3.87|119.51908|-60.67494
Cl* NGC2516 JTH 8584   |NGC2516     | 361.0| |a,b    | 8.06|14.68| 1.07|22.39|-3.69|119.59004|-60.98064
Cl* NGC2516 JTH 8502   |NGC2516     | 361.0| |a,b    | 8.06|15.25| 1.05|22.07|-3.77|119.58025|-60.86669
Cl* NGC2516 JTH 8408   |NGC2516     | 361.0| |a,b    | 8.06|15.22| 1.04|22.23|-3.62|119.56967|-60.78083
Cl* NGC2516 JTH 9202   |NGC2516     | 361.0| |a,b    | 8.06|15.22| 1.04|22.07|-3.78|119.65437|-60.77456
Cl* NGC2516 JTH 6070   |NGC2516     | 361.0| |a,b    | 8.06|15.04| 0.98|22.43|-3.46|119.31417|-60.64817
Cl* NGC2516 JTH 6268   |NGC2516     | 361.0| |a,b    | 8.06|14.95| 0.98|22.38|-3.55|119.33679|-60.73431
Cl* NGC2516 JTH 8645   |NGC2516     | 361.0| |a,b    | 8.06|14.12| 0.98|23.01|-3.25|119.59733|-60.91576
Cl* NGC2516 JTH 8641   |NGC2516     | 361.0| |a,b    | 8.06|14.12| 0.98|22.14|-4.12|119.59642|-60.91540
Cl* NGC2516 JTH 8654   |NGC2516     | 361.0| |a,b    | 8.06|14.80| 0.97|22.08|-3.90|119.59792|-60.78044
Cl* NGC2516 JTH 8737   |NGC2516     | 361.0| |a,b    | 8.06|14.81| 0.96|21.74|-4.23|119.60876|-60.73711
Cl* NGC2516 JTH 11240  |NGC2516     | 361.0| |a,b    | 8.06|15.00| 0.96|22.55|-3.35|119.88462|-60.97944
Cl* NGC2516 JTH 11485  |NGC2516     | 361.0| |a,b    | 8.06|14.77| 0.96|22.46|-3.53|119.91671|-60.70864
Cl* NGC2516 JTH 10040  |NGC2516     | 361.0| |a,b    | 8.06|14.87| 0.95|22.63|-3.32|119.73830|-60.60354
Cl* NGC2516 JTH 9655   |NGC2516     | 361.0| |a,b    | 8.06|14.80| 0.95|21.97|-4.00|119.69760|-60.92343
Cl* NGC2516 JTH 8923   |NGC2516     | 361.0| |a,b    | 8.06|13.97| 0.95|21.84|-4.46|119.62804|-60.76694
Cl* NGC2516 JTH 5957   |NGC2516     | 361.0| |a,b    | 8.06|14.58| 0.93|22.99|-3.06|119.30056|-60.55249
Cl* NGC2516 JTH 6049   |NGC2516     | 361.0| |a,b    | 8.06|14.70| 0.93|22.33|-3.67|119.31142|-60.69494
Cl* NGC2516 JTH 7959   |NGC2516     | 361.0| |a,b    | 8.06|14.04| 0.92|22.44|-3.83|119.52146|-60.76997
Cl* NGC2516 JTH 8967   |NGC2516     | 361.0| |a,b    | 8.06|14.76| 0.91|22.75|-3.22|119.63129|-60.88619
Cl* NGC2516 JTH 10046  |NGC2516     | 361.0| |a,b    | 8.06|14.76| 0.91|23.01|-2.96|119.73974|-60.71694
Cl* NGC2516 JTH 9835   |NGC2516     | 361.0| |a,b    | 8.06|14.78| 0.90|23.00|-2.96|119.71612|-60.58897
Cl* NGC2516 JTH 8997   |NGC2516     | 361.0| |a,b    | 8.06|14.61| 0.90|22.91|-3.12|119.63409|-60.76692
Cl* NGC2516 JTH 10871  |NGC2516     | 361.0| |a,b    | 8.06|14.51| 0.89|22.30|-3.77|119.83979|-60.77925
Cl* NGC2516 JTH 8689   |NGC2516     | 361.0| |a,b    | 8.06|13.93| 0.88|21.95|-4.34|119.60196|-60.90953
Cl* NGC2516 JTH 9513   |NGC2516     | 361.0| |a,b    | 8.06|14.48| 0.87|22.01|-4.06|119.68400|-60.93364
Cl* NGC2516 JTH 8634   |NGC2516     | 361.0| |a,b    | 8.06|14.52| 0.86|23.05|-3.00|119.59548|-60.67232
Cl* NGC2516 JTH 7619   |NGC2516     | 361.0| |a,b    | 8.06|14.32| 0.85|22.35|-3.77|119.48379|-60.91642
Cl* NGC2516 JTH 7454   |NGC2516     | 361.0| |a,b    | 8.06|14.36| 0.85|21.91|-4.20|119.46729|-61.00883
Cl* NGC2516 JTH 9286   |NGC2516     | 361.0| |a,b    | 8.06|14.24| 0.85|21.95|-4.21|119.66271|-60.75603
Cl* NGC2516 JTH 7678   |NGC2516     | 361.0| |a,b    | 8.06|14.43| 0.84|22.74|-3.34|119.49029|-60.89417
Cl* NGC2516 JTH 6263   |NGC2516     | 361.0| |a,b    | 8.06|14.18| 0.82|22.19|-3.98|119.33650|-60.77903
Cl* NGC2516 JTH 9676   |NGC2516     | 361.0| |a,b    | 8.06|14.34| 0.82|23.02|-3.09|119.70017|-60.90400
Cl* NGC2516 JTH 7590   |NGC2516     | 361.0| |a,b    | 8.06|13.99| 0.80|22.01|-4.23|119.48117|-60.72242
Cl* NGC2516 JTH 8411   |NGC2516     | 361.0| |a,b    | 8.06|13.96| 0.78|21.86|-4.38|119.57004|-60.91461
Cl* NGC2516 JTH 4598   |NGC2516     | 361.0| |a,b    | 8.06|13.98| 0.78|23.30|-2.93|119.14458|-60.80108
Cl* NGC2516 JTH 8192   |NGC2516     | 361.0| |a,b    | 8.06|13.90| 0.78|22.26|-4.01|119.54679|-60.83331
Cl* NGC2516 JTH 7553   |NGC2516     | 361.0| |a,b    | 8.06|13.81| 0.75|22.15|-4.15|119.47717|-60.75228
Cl* NGC2516 JTH 11233  |NGC2516     | 361.0| |a,b    | 8.06|13.88| 0.75|23.18|-3.09|119.88375|-60.81250
Cl* NGC2516 JTH 7312   |NGC2516     | 361.0| |a,b    | 8.06|13.84| 0.75|21.87|-4.41|119.44967|-60.93697
Cl* NGC2516 JTH 9465   |NGC2516     | 361.0| |a,b    | 8.06|13.84| 0.73|23.07|-3.21|119.68018|-60.92380
Cl* NGC2516 JTH 6605   |NGC2516     | 361.0| |a,b    | 8.06|13.64| 0.73|22.20|-4.16|119.37242|-60.83622
Cl* NGC2516 JTH 8932   |NGC2516     | 361.0| |a,b    | 8.06|12.89| 0.73|21.84|-4.82|119.62879|-60.79056
Cl* NGC2516 JTH 6852   |NGC2516     | 361.0| |a,b    | 8.06|13.73| 0.72|22.16|-4.16|119.40033|-60.80356
Cl* NGC2516 JTH 9361   |NGC2516     | 361.0| |a,b    | 8.06|13.59| 0.69|22.06|-4.31|119.66986|-60.69814
Cl* NGC2516 JTH 9486   |NGC2516     | 361.0| |a,b    | 8.06|12.61| 0.68|23.03|-3.73|119.68229|-60.54911
Cl* NGC2516 JTH 4105   |NGC2516     | 361.0| |a,b    | 8.06|13.31| 0.67|23.25|-3.22|119.08908|-60.94217
Cl* NGC2516 JTH 6570   |NGC2516     | 361.0| |a,b    | 8.06|13.40| 0.66|22.21|-4.22|119.36850|-60.85819
Cl* NGC2516 JTH 9140   |NGC2516     | 361.0| |a,b    | 8.06|13.41| 0.65|23.05|-3.38|119.64871|-60.78122
Cl* NGC2516 JTH 5862   |NGC2516     | 361.0| |a,b    | 8.06|13.29| 0.65|22.37|-4.11|119.29143|-60.73617
Cl* NGC2516 JTH 7585   |NGC2516     | 361.0| |a,b    | 8.06|12.91| 0.63|23.13|-3.50|119.48087|-60.80756
Cl* NGC2516 JTH 9054   |NGC2516     | 361.0| |a,b    | 8.06|12.84| 0.61|23.03|-3.62|119.63912|-60.74092
Cl* NGC2516 JTH 6452   |NGC2516     | 361.0| |a,b    | 8.06|13.05| 0.60|22.40|-4.16|119.35508|-60.77981
Cl* NGC2516 JTH 6029   |NGC2516     | 361.0| |a,b    | 8.06|12.24| 0.59|22.99|-3.89|119.30908|-60.68122
Cl* NGC2516 JTH 8536   |NGC2516     | 361.0| |a,b    | 8.06|12.87| 0.58|21.98|-4.65|119.58462|-60.69436
Cl* NGC2516 JTH 9852   |NGC2516     | 361.0| |a,b    | 8.06|12.14| 0.57|22.52|-4.40|119.71796|-60.89381
Cl* NGC2516 JTH 7743   |NGC2516     | 361.0| |a,b    | 8.06|12.65| 0.57|22.85|-3.87|119.49717|-60.94819
Cl* NGC2516 JTH 7967   |NGC2516     | 361.0| |a,b    | 8.06|12.70| 0.55|22.25|-4.45|119.52217|-60.75094
Cl* NGC2516 JTH 7104   |NGC2516     | 361.0| |a,b    | 8.06|12.68| 0.55|22.35|-4.35|119.42800|-60.73908
Cl* NGC2516 JTH 7650   |NGC2516     | 361.0| |a,b    | 8.06|12.71| 0.54|22.57|-4.12|119.48679|-60.84275
Cl* NGC2516 JTH 10894  |NGC2516     | 361.0| |a,b    | 8.06|11.87| 0.53|22.58|-4.44|119.84233|-60.75742
Cl* NGC2516 JTH 7864   |NGC2516     | 361.0| |a,b    | 8.06|12.07| 0.52|23.11|-3.83|119.51017|-60.77992
Cl* NGC2516 JTH 7595   |NGC2516     | 361.0| |a,b    | 8.06|12.63| 0.52|22.45|-4.27|119.48196|-60.67769
Cl* NGC2516 JTH 9175   |NGC2516     | 361.0| |a,b    | 8.06|11.68| 0.50|22.83|-4.27|119.65192|-60.83844
Cl* NGC2516 JTH 8529   |NGC2516     | 361.0| |a,b    | 8.06|12.34| 0.50|22.92|-3.91|119.58275|-60.69947
Cl* NGC2516 JTH 8660   |NGC2516     | 361.0| |a,b    | 8.06|12.35| 0.49|22.93|-3.89|119.59846|-60.62278
Cl* NGC2516 JTH 10863  |NGC2516     | 361.0| |a,b    | 8.06|12.34| 0.48|22.40|-4.43|119.83892|-60.76744
Cl* NGC2516 JTH 9328   |NGC2516     | 361.0| |a,b    | 8.06|12.21| 0.48|22.58|-4.30|119.66687|-60.69525
Cl* NGC2516 JTH 8099   |NGC2516     | 361.0| |a,b    | 8.06|12.22| 0.48|22.77|-4.11|119.53675|-60.74451
Cl* NGC2516 JTH 6106   |NGC2516     | 361.0| |a,b    | 8.06|12.04| 0.45|22.34|-4.61|119.31779|-60.78711
Cl* NGC2516 JTH 7962   |NGC2516     | 361.0| |a,b    | 8.06|11.96| 0.45|22.11|-4.87|119.52187|-60.79453
Cl* NGC2516 JTH 8458   |NGC2516     | 361.0| |a,b    | 8.06|11.47| 0.45|23.09|-4.09|119.57508|-60.75425
Cl* NGC2516 JTH 8172   |NGC2516     | 361.0| |a,b    | 8.06|12.04| 0.45|22.18|-4.77|119.54467|-60.82564
Cl* NGC2516 JTH 6373   |NGC2516     | 361.0| |a,b    | 8.06|11.32| 0.43|22.58|-4.65|119.34662|-60.82739
Cl* NGC2516 JTH 9696   |NGC2516     | 361.0| |a,b    | 8.06|11.95| 0.43|21.96|-5.02|119.70275|-60.92356
Cl* NGC2516 JTH 4125   |NGC2516     | 361.0| |a,b    | 8.06|11.56| 0.43|23.33|-3.81|119.09451|-60.86172
Cl* NGC2516 JTH 8920   |NGC2516     | 361.0| |a,b    | 8.06|11.68| 0.39|21.85|-5.23|119.62742|-60.77494
Cl* NGC2516 JTH 8261   |NGC2516     | 361.0| |a,b    | 8.06|11.99| 0.37|22.37|-4.59|119.55362|-60.64347
Cl* NGC2516 JTH 7194   |NGC2516     | 361.0| |a,b    | 8.06|11.40| 0.36|22.03|-5.16|119.43850|-60.93883
Cl* NGC2547 NTJ 18-882 |NGC2547     | 420.0| |a,b,g,h| 7.54|17.16| 1.40|22.26|-2.99|122.49508|-49.06222
Cl* NGC2547 NTJ 3-1984 |NGC2547     | 420.0| |a,b,g,h| 7.54|16.28| 1.40|22.73|-2.87|122.53122|-49.17909
Cl* NGC2547 NTJ 14-2163|NGC2547     | 420.0| |a,b,g,h| 7.54|16.10| 1.39|22.54|-3.13|122.31906|-49.15860
Cl* NGC2547 NTJ 8-1868 |NGC2547     | 420.0| |a,b,g,h| 7.54|15.92| 1.38|22.54|-3.20|122.48518|-49.36970
Cl* NGC2547 NTJ 13-1760|NGC2547     | 420.0| |a,b,g,h| 7.54|15.99| 1.35|22.54|-3.15|122.64883|-49.15024
Cl* NGC2547 NTJ 18-2246|NGC2547     | 420.0| |a,b,g,h| 7.54|16.25| 1.34|22.74|-2.84|122.57675|-49.03737
Cl* NGC2547 NTJ 13-961 |NGC2547     | 420.0| |a,b,g,h| 7.54|15.48| 1.29|22.50|-3.35|122.53723|-49.26149
Cl* NGC2547 NTJ 8-729  |NGC2547     | 420.0| |a,b,g,h| 7.54|15.23| 1.25|22.71|-3.23|122.63278|-49.35823
Cl* NGC2547 NTJ 18-618 |NGC2547     | 420.0| |a,b,g,h| 7.54|15.46| 1.22|22.53|-3.30|122.68066|-49.02091
Cl* NGC2547 NTJ 13-520 |NGC2547     | 420.0| |a,b,g,h| 7.54|15.14| 1.16|22.69|-3.24|122.64831|-49.17440
Cl* NGC2547 NTJ 18-2432|NGC2547     | 420.0| |a,b,g,h| 7.54|14.77| 1.14|22.46|-3.61|122.64790|-49.08337
Cl* NGC2547 NTJ 7-2821 |NGC2547     | 420.0| |a,b,g,h| 7.54|14.88| 1.13|22.65|-3.37|122.28000|-49.32068
Cl* NGC2547 NTJ 13-300 |NGC2547     | 420.0| |a,b,g,h| 7.54|13.53| 0.99|23.37|-3.13|122.60737|-49.13679
Cl* NGC2547 NTJ 13-2151|NGC2547     | 420.0| |a,b,g,h| 7.54|14.44| 0.98|22.84|-3.29|122.65886|-49.20792
Cl* NGC2547 NTJ 18-313 |NGC2547     | 420.0| |a,b,g,h| 7.54|13.76| 0.97|23.21|-3.19|122.68977|-49.08900
Cl* NGC2547 NTJ 8-728  |NGC2547     | 420.0| |a,b,g,h| 7.54|13.90| 0.89|22.80|-3.51|122.57500|-49.39731
Cl* NGC2547 NTJ 18-92  |NGC2547     | 420.0| |a,b,g,h| 7.54|13.41| 0.88|23.38|-3.13|122.64187|-49.08337
Cl* NGC2547 NTJ 17-1696|NGC2547     | 420.0| |a,b,g,h| 7.54|14.44| 0.88|22.92|-3.18|122.33036|-49.07390
Cl* NGC2547 NTJ 14-227 |NGC2547     | 420.0| |a,b,g,h| 7.54|13.61| 0.83|23.04|-3.38|122.34486|-49.27525
Cl* NGC2547 NTJ 8-104  |NGC2547     | 420.0| |a,b,g,h| 7.54|13.27| 0.80|23.08|-3.46|122.48257|-49.37797
Cl* NGC2547 NTJ 13-172 |NGC2547     | 420.0| |a,b,g,h| 7.54|13.37| 0.80|23.06|-3.44|122.53376|-49.20437
Cl* NGC2547 NTJ 18-43  |NGC2547     | 420.0| |a,b,g,h| 7.54|12.49| 0.76|23.70|-3.14|122.53910|-49.01572
Cl* NGC2547 NTJ 7-27   |NGC2547     | 420.0| |a,b,g,h| 7.54|12.69| 0.73|22.35|-4.40|122.47589|-49.32280
Cl* NGC2547 NTJ 7-93   |NGC2547     | 420.0| |a,b,g,h| 7.54|13.30| 0.72|23.34|-3.17|122.42013|-49.39732
Cl* NGC2547 NTJ 12-65  |NGC2547     | 420.0| |a,b,g,h| 7.54|13.05| 0.68|22.88|-3.71|122.86068|-49.16644
Cl* NGC2547 NTJ 18-51  |NGC2547     | 420.0| |a,b,g,h| 7.54|12.54| 0.67|22.85|-3.95|122.56442|-49.09687
Cl* NGC2547 NTJ 13-72  |NGC2547     | 420.0| |a,b,g,h| 7.54|12.70| 0.62|23.27|-3.45|122.44520|-49.12219
Cl* NGC2547 NTJ 18-46  |NGC2547     | 420.0| |a,b,g,h| 7.54|12.65| 0.59|22.71|-4.03|122.60361|-49.03043
Cl* NGC2547 NTJ 18-50  |NGC2547     | 420.0| |a,b,g,h| 7.54|12.54| 0.58|23.41|-3.36|122.51584|-49.01865
Cl* NGC2547 NTJ 4-85   |NGC2547     | 420.0| |a,b,g,h| 7.54|13.46| 0.56|22.60|-3.81|122.49032|-49.16317
Cl* NGC2547 NTJ 8-22   |NGC2547     | 420.0| |a,b,g,h| 7.54|11.60| 0.56|22.25|-4.90|122.54856|-49.37429
Cl* NGC2547 NTJ 14-32  |NGC2547     | 420.0| |a,b,g,h| 7.54|12.30| 0.54|23.48|-3.39|122.44715|-49.21810
Cl* NGC2547 NTJ 14-31  |NGC2547     | 420.0| |a,b,g,h| 7.54|12.19| 0.53|22.49|-4.42|122.34557|-49.13264
Cl* NGC2547 NTJ 18-35  |NGC2547     | 420.0| |a,b,g,h| 7.54|12.13| 0.52|22.59|-4.35|122.68942|-49.01856
Cl* NGC2547 NTJ 17-18  |NGC2547     | 420.0| |a,b,g,h| 7.54|11.78| 0.50|22.59|-4.48|122.26197|-49.10062
Cl* NGC2547 NTJ 48-3559|NGC2547     | 420.0| |a,b,g,h| 7.54|11.00| 0.48|22.02|-5.36|122.61561|-49.20264
Cl* NGC2547 NTJ 8-19   |NGC2547     | 420.0| |a,b,g,h| 7.54|10.97| 0.48|22.15|-5.25|122.55629|-49.34552
Cl* NGC2547 NTJ 12-18  |NGC2547     | 420.0| |a,b,g,h| 7.54|11.77| 0.47|22.76|-4.31|122.70770|-49.19051
Cl* NGC2547 NTJ 18-23  |NGC2547     | 420.0| |a,b,g,h| 7.54|10.98| 0.45|22.22|-5.17|122.50360|-49.14237
Cl* NGC2547 NTJ 9-12   |NGC2547     | 420.0| |a,b,g,h| 7.54|10.76| 0.44|22.43|-5.04|122.69425|-49.29201
Cl* NGC2547 NTJ 14-22  |NGC2547     | 420.0| |a,b,g,h| 7.54|11.38| 0.42|22.75|-4.48|122.20987|-49.27118
Cl* NGC3532 FERN 229   |NGC3532     | 496.0| |a,b    | 8.48|13.14| 0.62|22.71|-4.04|166.63729|-58.63008
Cl* NGC3532 FERN 149   |NGC3532     | 496.0| |a,b    | 8.48|12.86| 0.57|22.77|-4.08|166.22000|-58.68250
Cl* NGC3532 FERN 314   |NGC3532     | 496.0| |a,b    | 8.48|12.22| 0.57|22.68|-4.42|166.46750|-58.92694
Cl* NGC3532 FERN 242   |NGC3532     | 496.0| |a,b    | 8.48|12.18| 0.54|22.48|-4.64|166.44625|-58.61361
Cl* NGC3532 FERN 57    |NGC3532     | 496.0| |a,b    | 8.48|13.11| 0.51|22.45|-4.28|166.36933|-58.82525
Cl* NGC3532 FERN 277   |NGC3532     | 496.0| |a,b    | 8.48|12.82| 0.49|22.72|-4.13|166.05783|-58.76450
Cl* NGC3532 FERN 146   |NGC3532     | 496.0| |a,b    | 8.48|12.63| 0.48|22.64|-4.29|166.15625|-58.65139
Cl* NGC3532 FERN 128   |NGC3532     | 496.0| |a,b    | 8.48|12.42| 0.45|22.38|-4.63|166.39179|-58.65261
Cl* NGC3532 FERN 243   |NGC3532     | 496.0| |a,b    | 8.48|10.98| 0.41|22.54|-5.04|166.47172|-58.59404
[PSC95] 91A            |NGC6475     | 283.0| |a,b    | 8.29|15.95| 1.41|22.23|-3.46|268.53300|-34.68814
[PSC95] 37A            |NGC6475     | 283.0| |a,b    | 8.29|15.60| 1.36|22.76|-2.98|268.33275|-34.94492
[PSC95] 84A            |NGC6475     | 283.0| |a,b    | 8.29|15.42| 1.33|22.27|-3.50|268.49583|-34.61583
[PSC95] 40A            |NGC6475     | 283.0| |a,b    | 8.29|15.59| 1.30|22.44|-3.22|268.34000|-34.88833
[PSC95] 101A           |NGC6475     | 283.0| |a,b    | 8.29|15.02| 1.29|22.22|-3.66|268.55612|-34.67022
[PSC95] 80B            |NGC6475     | 283.0| |a,b    | 8.29|14.98| 1.23|22.25|-3.58|268.46167|-34.60500
[PSC95] 48A            |NGC6475     | 283.0| |a,b    | 8.29|14.73| 1.18|22.30|-3.59|268.36500|-34.92417
[PSC95] 71A            |NGC6475     | 283.0| |a,b    | 8.29|14.15| 1.07|22.29|-3.75|268.43054|-34.75758
[PSC95] 86A            |NGC6475     | 283.0| |a,b    | 8.29|13.68| 1.03|22.01|-4.20|268.50667|-35.08944
[PSC95] 83A            |NGC6475     | 283.0| |a,b    | 8.29|14.00| 1.01|22.79|-3.28|268.49125|-34.70264
[PSC95] 19A            |NGC6475     | 283.0| |a,b    | 8.29|14.24| 0.97|22.67|-3.28|268.25167|-34.63500
[PSC95] 7A             |NGC6475     | 283.0| |a,b    | 8.29|14.15| 0.96|23.02|-2.97|268.11000|-34.59528
[PSC95] 129A           |NGC6475     | 283.0| |a,b    | 8.29|14.16| 0.94|22.64|-3.33|268.74237|-34.67186
[PSC95] 11A            |NGC6475     | 283.0| |a,b    | 8.29|14.23| 0.94|22.42|-3.52|268.15750|-34.74444
[PSC95] 46A            |NGC6475     | 283.0| |a,b    | 8.29|13.59| 0.87|22.17|-4.00|268.36125|-34.73556
[PSC95] 76A            |NGC6475     | 283.0| |a,b    | 8.29|13.55| 0.85|22.33|-3.84|268.46012|-34.81867
[PSC95] 119B           |NGC6475     | 283.0| |a,b    | 8.29|13.46| 0.81|22.23|-3.96|268.64750|-35.01556
[PSC95] 53A            |NGC6475     | 283.0| |a,b    | 8.29|13.40| 0.80|22.14|-4.07|268.37208|-34.80472
[PSC95] 116A           |NGC6475     | 283.0| |a,b    | 8.29|12.81| 0.79|22.41|-4.04|268.62971|-34.66503
[PSC95] 111A           |NGC6475     | 283.0| |a,b    | 8.29|13.42| 0.79|22.02|-4.18|268.61746|-34.85053
[PSC95] 102A           |NGC6475     | 283.0| |a,b    | 8.29|13.32| 0.79|22.30|-3.94|268.56475|-34.79222
[PSC95] 33A            |NGC6475     | 283.0| |a,b    | 8.29|13.42| 0.79|22.65|-3.55|268.31667|-34.71778
[PSC95] 94A            |NGC6475     | 283.0| |a,b    | 8.29|13.30| 0.77|22.14|-4.10|268.53958|-34.88639
[PSC95] 123A           |NGC6475     | 283.0| |a,b    | 8.29|13.17| 0.75|21.94|-4.35|268.67487|-34.84639
[PSC95] 55A            |NGC6475     | 283.0| |a,b    | 8.29|12.33| 0.73|22.59|-4.03|268.38042|-34.60325
[PSC95] 104A           |NGC6475     | 283.0| |a,b    | 8.29|12.37| 0.72|22.64|-3.96|268.58433|-34.79547
[PSC95] 119A           |NGC6475     | 283.0| |a,b    | 8.29|12.92| 0.71|22.23|-4.14|268.65296|-35.01367
[PSC95] 109A           |NGC6475     | 283.0| |a,b    | 8.29|12.63| 0.70|22.27|-4.21|268.60887|-34.70361
[PSC95] 66A            |NGC6475     | 283.0| |a,b    | 8.29|12.78| 0.68|22.10|-4.32|268.41675|-34.66781
[PSC95] 79A            |NGC6475     | 283.0| |a,b    | 8.29|11.92| 0.66|22.32|-4.44|268.47146|-35.08742
[PSC95] 43A            |NGC6475     | 283.0| |a,b    | 8.29|12.10| 0.66|22.97|-3.71|268.34221|-35.03936
[PSC95] 64A            |NGC6475     | 283.0| |a,b    | 8.29|11.96| 0.63|22.12|-4.61|268.41271|-35.05569
[PSC95] 16A            |NGC6475     | 283.0| |a,b    | 8.29|11.69| 0.62|22.76|-4.08|268.24083|-34.94889
[PSC95] 133A           |NGC6475     | 283.0| |a,b    | 8.29|12.17| 0.61|22.19|-4.45|268.81483|-34.85775
[PSC95] 103A           |NGC6475     | 283.0| |a,b    | 8.29|12.37| 0.61|22.55|-4.01|268.57958|-34.97306
[PSC95] 39A            |NGC6475     | 283.0| |a,b    | 8.29|12.36| 0.61|22.76|-3.81|268.33862|-34.90972
